ID,Year,DCD,Sex,Age,Labour_force,Labour_force_participation_rate
113,2020,Tai Po,Male,C,18.4,96.1
114,2020,Tai Po,Male,D,19.8,91.4
115,2020,Tai Po,Male,E,22.6,45.1
116,2020,Tai Po,Female,A,4.2,32.0
117,2020,Tai Po,Female,B,19.6,84.8
118,2020,Tai Po,Female,C,23.3,79.1
119,2020,Tai Po,Female,D,20.7,70.8
120,2020,Tai Po,Female,E,13.8,24.7
121,2020,Sha Tin,Male,A,9.7,32.1
122,2020,Sha Tin,Male,B,36.8,92.3
123,2020,Sha Tin,Male,C,38.6,95.1
124,2020,Sha Tin,Male,D,45.3,92.3
125,2020,Sha Tin,Male,E,48.7,43.6
126,2020,Sha Tin,Female,A,10.3,34.4
127,2020,Sha Tin,Female,B,42.3,85.9
128,2020,Sha Tin,Female,C,46.7,74.3
129,2020,Sha Tin,Female,D,48.2,70.6
130,2020,Sha Tin,Female,E,31.4,24.8
131,2020,Sai Kung,Male,A,6.4,31.3
132,2020,Sai Kung,Male,B,27.4,92.0
133,2020,Sai Kung,Male,C,29.6,94.5
134,2020,Sai Kung,Male,D,29,92.5
135,2020,Sai Kung,Male,E,32.9,44.1
136,2020,Sai Kung,Female,A,7.9,40.6
137,2020,Sai Kung,Female,B,34.8,87.6
138,2020,Sai Kung,Female,C,38.9,82.9
139,2020,Sai Kung,Female,D,31.9,75.2
140,2020,Sai Kung,Female,E,23.6,27.8
141,2020,Islands,Male,A,3,37.6
142,2020,Islands,Male,B,11.3,94.7
143,2020,Islands,Male,C,12.5,95.6
144,2020,Islands,Male,D,9.9,92.7
145,2020,Islands,Male,E,11.7,41.1
146,2020,Islands,Female,A,3.2,37.8
147,2020,Islands,Female,B,14.8,79.8
148,2020,Islands,Female,C,12.8,73.0
149,2020,Islands,Female,D,9.9,68.7
150,2020,Islands,Female,E,7,23.5
151,2021,Central and Western,Male,A,2.6,33.8
152,2021,Central and Western,Male,B,11.7,93.1
153,2021,Central and Western,Male,C,13.9,93.8
154,2021,Central and Western,Male,D,13.6,94.4
155,2021,Central and Western,Male,E,17.8,49.6
156,2021,Central and Western,Female,A,2.3,26.0
157,2021,Central and Western,Female,B,19.7,85.6
158,2021,Central and Western,Female,C,23.3,85.2
159,2021,Central and Western,Female,D,17.5,78.2
160,2021,Central and Western,Female,E,14.4,34.2
161,2021,Wan Chai,Male,A,1.7,36.4
162,2021,Wan Chai,Male,B,7.2,94.6
163,2021,Wan Chai,Male,C,9.5,97.7
164,2021,Wan Chai,Male,D,9.5,90.6
165,2021,Wan Chai,Male,E,11.3,44.2
166,2021,Wan Chai,Female,A,1.5,29.5
167,2021,Wan Chai,Female,B,13.4,88.5
168,2021,Wan Chai,Female,C,18.1,85.3
169,2021,Wan Chai,Female,D,12.7,78.3
170,2021,Wan Chai,Female,E,9,27.8
171,2021,Eastern,Male,A,5.6,30.9
172,2021,Eastern,Male,B,25,93.7
173,2021,Eastern,Male,C,29,94.7
174,2021,Eastern,Male,D,31.3,92.5
175,2021,Eastern,Male,E,38.5,40.4
176,2021,Eastern,Female,A,6.2,35.1
177,2021,Eastern,Female,B,31,87.6
178,2021,Eastern,Female,C,41.2,80.5
179,2021,Eastern,Female,D,37.2,76.5
180,2021,Eastern,Female,E,30.5,26.3
181,2021,Southern,Male,A,3,32.2
182,2021,Southern,Male,B,11.7,94.2
183,2021,Southern,Male,C,13.9,94.6
184,2021,Southern,Male,D,16.2,91.5
185,2021,Southern,Male,E,20.1,45.2
186,2021,Southern,Female,A,3.2,35.4
187,2021,Southern,Female,B,16.1,90.2
188,2021,Southern,Female,C,21.8,83.1
189,2021,Southern,Female,D,18.6,74.8
190,2021,Southern,Female,E,15.6,29.8
191,2021,Yau Tsim Mong,Male,A,3.7,32.9
192,2021,Yau Tsim Mong,Male,B,17.7,96.7
193,2021,Yau Tsim Mong,Male,C,20.6,97.5
194,2021,Yau Tsim Mong,Male,D,20,92.1
195,2021,Yau Tsim Mong,Male,E,20.4,44.1
196,2021,Yau Tsim Mong,Female,A,4.1,33.9
197,2021,Yau Tsim Mong,Female,B,21.9,79.8
198,2021,Yau Tsim Mong,Female,C,26.9,79.3
199,2021,Yau Tsim Mong,Female,D,21.8,74.2
200,2021,Yau Tsim Mong,Female,E,14.5,29.4
201,2021,Sham Shui Po,Male,A,6.2,34.8
202,2021,Sham Shui Po,Male,B,22.7,91.4
203,2021,Sham Shui Po,Male,C,25.6,96.2
204,2021,Sham Shui Po,Male,D,24.9,88.5
205,2021,Sham Shui Po,Male,E,28.1,39.6
206,2021,Sham Shui Po,Female,A,6.1,35.3
207,2021,Sham Shui Po,Female,B,24.4,81.2
208,2021,Sham Shui Po,Female,C,30.2,75.2
209,2021,Sham Shui Po,Female,D,28.4,71.9
210,2021,Sham Shui Po,Female,E,20.4,25.6
211,2021,Kowloon City,Male,A,4.4,28.4
212,2021,Kowloon City,Male,B,19.9,91.9
213,2021,Kowloon City,Male,C,23.5,96.4
214,2021,Kowloon City,Male,D,24.7,90.2
215,2021,Kowloon City,Male,E,26.6,42.9
216,2021,Kowloon City,Female,A,5.3,34.0
217,2021,Kowloon City,Female,B,27.5,87.6
218,2021,Kowloon City,Female,C,33.4,76.0
219,2021,Kowloon City,Female,D,27.9,72.5
220,2021,Kowloon City,Female,E,19.7,26.8
221,2021,Wong Tai Sin,Male,A,5.8,33.7
222,2021,Wong Tai Sin,Male,B,22.9,91.9
223,2021,Wong Tai Sin,Male,C,21.2,95.8
224,2021,Wong Tai Sin,Male,D,24.4,91.6
225,2021,Wong Tai Sin,Male,E,31.8,41.2
226,2021,Wong Tai Sin,Female,A,5.8,35.8
227,2021,Wong Tai Sin,Female,B,22.3,86.6
228,2021,Wong Tai Sin,Female,C,22.2,72.0
229,2021,Wong Tai Sin,Female,D,26.1,72.1
230,2021,Wong Tai Sin,Female,E,24.2,26.9
231,2021,Kwun Tong,Male,A,10.4,34.0
232,2021,Kwun Tong,Male,B,35.4,92.0
233,2021,Kwun Tong,Male,C,36.5,94.2
234,2021,Kwun Tong,Male,D,43.1,93.2
235,2021,Kwun Tong,Male,E,46.7,39.3
236,2021,Kwun Tong,Female,A,10,34.3
237,2021,Kwun Tong,Female,B,34.3,81.3
238,2021,Kwun Tong,Female,C,39.5,72.4
239,2021,Kwun Tong,Female,D,42,67.8
240,2021,Kwun Tong,Female,E,35.7,26.1
241,2021,Kwai Tsing,Male,A,7.8,35.7
242,2021,Kwai Tsing,Male,B,28.2,94.9
243,2021,Kwai Tsing,Male,C,28.4,95.1
244,2021,Kwai Tsing,Male,D,30.5,88.7
245,2021,Kwai Tsing,Male,E,34.7,40.1
246,2021,Kwai Tsing,Female,A,7.5,36.7
247,2021,Kwai Tsing,Female,B,27,84.7
248,2021,Kwai Tsing,Female,C,30.5,76.4
249,2021,Kwai Tsing,Female,D,29.4,67.3
250,2021,Kwai Tsing,Female,E,25,25.1
251,2021,Tsuen Wan,Male,A,4.2,34.0
252,2021,Tsuen Wan,Male,B,17.3,93.5
253,2021,Tsuen Wan,Male,C,20.3,96.1
254,2021,Tsuen Wan,Male,D,22.1,93.8
255,2021,Tsuen Wan,Male,E,21.8,43.3
256,2021,Tsuen Wan,Female,A,4.1,33.4
257,2021,Tsuen Wan,Female,B,20.1,87.2
258,2021,Tsuen Wan,Female,C,25.6,78.6
259,2021,Tsuen Wan,Female,D,21.9,74.2
260,2021,Tsuen Wan,Female,E,14.6,26.1
261,2021,Tuen Mun,Male,A,19.7,49.5
262,2021,Tuen Mun,Male,B,35.5,96.5
263,2021,Tuen Mun,Male,C,47.4,96.6
264,2021,Tuen Mun,Male,D,39.4,93.4
265,2021,Tuen Mun,Male,E,12.8,38.5
266,2021,Tuen Mun,Female,A,20.1,52.3
267,2021,Tuen Mun,Female,B,30.1,73.2
268,2021,Tuen Mun,Female,C,30.9,56.8
269,2021,Tuen Mun,Female,D,20.5,52.6
270,2021,Tuen Mun,Female,E,3.8,12.2
271,2021,Yuen Long,Male,A,17.6,49.1
272,2021,Yuen Long,Male,B,33.5,96.3
273,2021,Yuen Long,Male,C,51.1,96.8
274,2021,Yuen Long,Male,D,31.9,90.7
275,2021,Yuen Long,Male,E,11.5,35.3
276,2021,Yuen Long,Female,A,17,48.2
277,2021,Yuen Long,Female,B,33.1,72.6
278,2021,Yuen Long,Female,C,31.4,56.2
279,2021,Yuen Long,Female,D,16.6,51.9
280,2021,Yuen Long,Female,E,3.1,9.0
281,2021,North,Male,A,8.6,42.9
282,2021,North,Male,B,17.5,98.5
283,2021,North,Male,C,27.1,96.1
284,2021,North,Male,D,21.8,94.3
285,2021,North,Male,E,6,28.4
286,2021,North,Female,A,10.5,44.9
287,2021,North,Female,B,16.9,73.8
288,2021,North,Female,C,19.3,59.0
289,2021,North,Female,D,10.6,53.3
290,2021,North,Female,E,1.5,6.8
291,2021,Tai Po,Male,A,11.3,47.1
292,2021,Tai Po,Male,B,15.6,96.2
293,2021,Tai Po,Male,C,29.5,96.2
294,2021,Tai Po,Male,D,25.1,94.8
295,2021,Tai Po,Male,E,6.1,28.8
296,2021,Tai Po,Female,A,11.5,46.1
297,2021,Tai Po,Female,B,16.8,81.3
298,2021,Tai Po,Female,C,21.7,59.6
299,2021,Tai Po,Female,D,12.9,53.0
300,2021,Tai Po,Female,E,2.1,9.2
301,2021,Sha Tin,Male,A,23.3,46.2
302,2021,Sha Tin,Male,B,41.9,97.7
303,2021,Sha Tin,Male,C,55,97.2
304,2021,Sha Tin,Male,D,47.9,93.0
305,2021,Sha Tin,Male,E,18.9,37.7
306,2021,Sha Tin,Female,A,22.1,46.2
307,2021,Sha Tin,Female,B,45.1,83.6
308,2021,Sha Tin,Female,C,44.4,64.5
309,2021,Sha Tin,Female,D,27.6,52.1
310,2021,Sha Tin,Female,E,5.5,10.6
311,2021,Sai Kung,Male,A,10.3,44.2
312,2021,Sai Kung,Male,B,26.5,98.2
313,2021,Sai Kung,Male,C,36.5,98.6
314,2021,Sai Kung,Male,D,23.8,95.6
315,2021,Sai Kung,Male,E,9.6,36.6
316,2021,Sai Kung,Female,A,11,48.8
